model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,brand
2011,bmw_x5,2,6,gas,145000,automatic,SUV,unknown,1,bmw
2014,ford_f-150,2,6,gas,88705,automatic,pickup,white,1,ford
2013,hyundai_sonata,4,4,gas,110000,automatic,sedan,red,0,hyundai
2003,ford_f-150,1,8,gas,193850,automatic,pickup,unknown,0,ford
2017,chrysler_200,3,4,gas,80903,automatic,sedan,black,0,chrysler
2014,chrysler_300,3,6,gas,57954,automatic,sedan,black,1,chrysler
2015,toyota_camry,3,4,gas,79212,automatic,sedan,white,0,toyota
2013,honda_pilot,3,6,gas,109473,automatic,SUV,black,1,honda
2012,kia_sorento,3,4,gas,104174,automatic,SUV,unknown,1,kia
2008,honda_pilot,3,6,gas,147191,automatic,SUV,blue,1,honda
2011,chevrolet_silverado_1500,3,8,gas,128413,automatic,pickup,black,1,chevrolet
2012,honda_accord,3,4,gas,111142,automatic,sedan,grey,0,honda
2012,ram_1500,3,8,gas,140742,automatic,pickup,unknown,1,ram
2018,hyundai_sonata,3,4,gas,22104,automatic,sedan,silver,0,hyundai
2009,gmc_yukon,3,8,gas,132285,automatic,SUV,black,1,gmc
2013,ram_1500,3,8,gas,98000,automatic,pickup,red,1,ram
2010,ram_1500,3,8,gas,130725,automatic,pickup,red,1,ram
2014,jeep_cherokee,3,6,gas,100669,automatic,SUV,red,1,jeep
2013,chevrolet_traverse,3,6,gas,128325,automatic,SUV,white,1,chevrolet
2018,hyundai_elantra,3,4,gas,31932,automatic,sedan,red,0,hyundai
2009,chevrolet_tahoe,3,8,gas,147485,automatic,SUV,silver,1,chevrolet
2007,toyota_rav4,2,6,gas,154000,automatic,SUV,unknown,0,toyota
2004,chevrolet_silverado,4,8,gas,180000,automatic,truck,red,1,chevrolet
2004,jeep_wrangler,2,6,gas,181384,automatic,SUV,red,1,jeep
2009,chrysler_200,3,4,gas,130000,automatic,sedan,red,0,chrysler
2017,chevrolet_malibu,4,4,gas,36000,automatic,sedan,unknown,0,chevrolet
2014,ford_fusion_se,4,4,gas,79523,automatic,sedan,red,0,ford
2015,chevrolet_impala,4,6,gas,39368,automatic,sedan,custom,0,chevrolet
2012,chevrolet_corvette,3,8,gas,57413,automatic,coupe,orange,0,chevrolet
2010,chevrolet_impala,3,6,gas,126000,automatic,sedan,white,0,chevrolet
2009,jeep_liberty,2,6,gas,137273,automatic,SUV,white,1,jeep
2017,toyota_camry_le,3,4,gas,35721,automatic,sedan,unknown,0,toyota
2015,nissan_altima,4,4,gas,51848,automatic,sedan,grey,0,nissan
2011,subaru_outback,3,4,gas,300000,automatic,SUV,white,1,subaru
2008,toyota_highlander,2,6,gas,149799,automatic,SUV,unknown,0,toyota
2015,dodge_charger,2,6,gas,63037,automatic,sedan,unknown,0,dodge
2013,chrysler_300,2,6,gas,88042,automatic,sedan,unknown,0,chrysler
2005,toyota_tacoma,2,6,gas,160000,automatic,pickup,unknown,0,toyota
2015,chrysler_200,2,4,gas,84000,automatic,sedan,unknown,0,chrysler
2009,ford_f-150,2,8,gas,234000,automatic,truck,black,1,ford
2017,chevrolet_equinox,4,4,gas,54772,automatic,SUV,grey,1,chevrolet
2017,nissan_rogue,4,4,gas,36000,automatic,SUV,silver,1,nissan
2008,honda_cr-v,3,4,gas,188000,automatic,SUV,red,1,honda
2004,jeep_grand_cherokee,2,6,gas,168821,automatic,SUV,unknown,1,jeep
2001,toyota_camry,2,4,gas,277564,automatic,coupe,yellow,0,toyota
2015,dodge_charger,3,6,gas,90302,automatic,sedan,black,1,dodge
2008,toyota_4runner,2,6,gas,141098,automatic,SUV,grey,0,toyota
2014,ford_focus,3,4,diesel,46000,automatic,sedan,unknown,0,ford
2006,honda_civic,3,4,gas,255390,automatic,sedan,blue,0,honda
2006,ford_f-150,3,6,gas,69698,automatic,truck,custom,0,ford
2012,ford_focus,2,4,gas,130323,automatic,sedan,black,0,ford
2011,kia_soul,2,4,gas,188963,manual,SUV,black,0,kia
2012,chevrolet_colorado,3,5,gas,111871,automatic,truck,red,1,chevrolet
2017,ford_f150_supercrew_cab_xlt,2,6,gas,30339,automatic,pickup,brown,1,ford
2017,chevrolet_camaro_lt_coupe_2d,2,6,gas,35807,other,coupe,unknown,0,chevrolet
2006,jeep_grand_cherokee,3,6,gas,146331,automatic,SUV,white,1,jeep
2012,chevrolet_cruze,3,4,gas,163261,automatic,sedan,white,0,chevrolet
2004,bmw_x5,3,6,gas,153057,automatic,SUV,black,1,bmw
2006,toyota_highlander,2,6,gas,186000,automatic,SUV,green,0,toyota
2005,ram_1500,2,8,gas,146000,automatic,truck,grey,1,ram
2013,chevrolet_silverado_1500,2,8,gas,137230,automatic,truck,white,1,chevrolet
2017,chevrolet_cruze,2,4,gas,53601,automatic,sedan,black,0,chevrolet
1966,ford_mustang,3,6,gas,51000,manual,convertible,red,0,ford
2017,chevrolet_cruze,2,4,gas,17498,automatic,sedan,black,0,chevrolet
2009,ford_f-150,3,6,gas,108500,automatic,pickup,white,0,ford
2013,chevrolet_silverado_3500hd,2,8,gas,106375,automatic,truck,white,1,chevrolet
2012,ram_1500,3,8,gas,114773,automatic,truck,grey,1,ram
