,price,model_year,model,condition,cylinders,fuel,odometer,transmission,type,paint_color,is_4wd,brand
0,9400,2011,bmw x5,2,6,gas,145000,automatic,SUV,unknown,1,bmw
1,25500,2014,ford f-150,2,6,gas,88705,automatic,pickup,white,1,ford
2,5500,2013,hyundai sonata,4,4,gas,110000,automatic,sedan,red,0,hyundai
3,1500,2003,ford f-150,1,8,gas,193850,automatic,pickup,unknown,0,ford
4,14900,2017,chrysler 200,3,4,gas,80903,automatic,sedan,black,0,chrysler
5,14990,2014,chrysler 300,3,6,gas,57954,automatic,sedan,black,1,chrysler
6,12990,2015,toyota camry,3,4,gas,79212,automatic,sedan,white,0,toyota
7,15990,2013,honda pilot,3,6,gas,109473,automatic,SUV,black,1,honda
8,11500,2012,kia sorento,3,4,gas,104174,automatic,SUV,unknown,1,kia
9,9200,2008,honda pilot,3,6,gas,147191,automatic,SUV,blue,1,honda
10,19500,2011,chevrolet silverado 1500,3,8,gas,128413,automatic,pickup,black,1,chevrolet
11,8990,2012,honda accord,3,4,gas,111142,automatic,sedan,grey,0,honda
12,18990,2012,ram 1500,3,8,gas,140742,automatic,pickup,unknown,1,ram
13,16500,2018,hyundai sonata,3,4,gas,22104,automatic,sedan,silver,0,hyundai
14,12990,2009,gmc yukon,3,8,gas,132285,automatic,SUV,black,1,gmc
15,17990,2013,ram 1500,3,8,gas,98000,automatic,pickup,red,1,ram
16,14990,2010,ram 1500,3,8,gas,130725,automatic,pickup,red,1,ram
17,13990,2014,jeep cherokee,3,6,gas,100669,automatic,SUV,red,1,jeep
18,12500,2013,chevrolet traverse,3,6,gas,128325,automatic,SUV,white,1,chevrolet
19,13990,2018,hyundai elantra,3,4,gas,31932,automatic,sedan,red,0,hyundai
20,6990,2009,chevrolet tahoe,3,8,gas,147485,automatic,SUV,silver,1,chevrolet
21,5250,2007,toyota rav4,2,6,gas,154000,automatic,SUV,unknown,0,toyota
22,7500,2004,chevrolet silverado,4,8,gas,180000,automatic,truck,red,1,chevrolet
23,7500,2004,jeep wrangler,2,6,gas,181384,automatic,SUV,red,1,jeep
24,3950,2009,chrysler 200,3,4,gas,130000,automatic,sedan,red,0,chrysler
25,11499,2017,chevrolet malibu,4,4,gas,36000,automatic,sedan,unknown,0,chevrolet
26,8499,2014,ford fusion se,4,4,gas,79523,automatic,sedan,red,0,ford
27,12999,2015,chevrolet impala,4,6,gas,39368,automatic,sedan,custom,0,chevrolet
28,29800,2012,chevrolet corvette,3,8,gas,57413,automatic,coupe,orange,0,chevrolet
29,5495,2010,chevrolet impala,3,6,gas,126000,automatic,sedan,white,0,chevrolet
30,5000,2009,jeep liberty,2,6,gas,137273,automatic,SUV,white,1,jeep
31,11999,2017,toyota camry le,3,4,gas,35721,automatic,sedan,unknown,0,toyota
32,9499,2015,nissan altima,4,4,gas,51848,automatic,sedan,grey,0,nissan
33,3890,2011,subaru outback,3,4,gas,300000,automatic,SUV,white,1,subaru
34,9500,2008,toyota highlander,2,6,gas,149799,automatic,SUV,unknown,0,toyota
35,14999,2015,dodge charger,2,6,gas,63037,automatic,sedan,unknown,0,dodge
36,10499,2013,chrysler 300,2,6,gas,88042,automatic,sedan,unknown,0,chrysler
37,7500,2005,toyota tacoma,2,6,gas,160000,automatic,pickup,unknown,0,toyota
38,7999,2015,chrysler 200,2,4,gas,84000,automatic,sedan,unknown,0,chrysler
39,8000,2009,ford f-150,2,8,gas,234000,automatic,truck,black,1,ford
40,11499,2017,chevrolet equinox,4,4,gas,54772,automatic,SUV,grey,1,chevrolet
41,11995,2017,nissan rogue,4,4,gas,36000,automatic,SUV,silver,1,nissan
42,5100,2008,honda cr-v,3,4,gas,188000,automatic,SUV,red,1,honda
43,4500,2004,jeep grand cherokee,2,6,gas,168821,automatic,SUV,unknown,1,jeep
44,2400,2001,toyota camry,2,4,gas,277564,automatic,coupe,yellow,0,toyota
45,11200,2015,dodge charger,3,6,gas,90302,automatic,sedan,black,1,dodge
46,12500,2008,toyota 4runner,2,6,gas,141098,automatic,SUV,grey,0,toyota
47,9500,2014,ford focus,3,4,diesel,46000,automatic,sedan,unknown,0,ford
48,3200,2006,honda civic,3,4,gas,255390,automatic,sedan,blue,0,honda
49,6200,2006,ford f-150,3,6,gas,69698,automatic,truck,custom,0,ford
50,3800,2012,ford focus,2,4,gas,130323,automatic,sedan,black,0,ford
51,3300,2011,kia soul,2,4,gas,188963,manual,SUV,black,0,kia
52,10400,2012,chevrolet colorado,3,5,gas,111871,automatic,truck,red,1,chevrolet
53,30300,2017,ford f150 supercrew cab xlt,2,6,gas,30339,automatic,pickup,brown,1,ford
54,19700,2017,chevrolet camaro lt coupe 2d,2,6,gas,35807,other,coupe,unknown,0,chevrolet
55,4200,2006,jeep grand cherokee,3,6,gas,146331,automatic,SUV,white,1,jeep
56,4877,2012,chevrolet cruze,3,4,gas,163261,automatic,sedan,white,0,chevrolet
57,3200,2004,bmw x5,3,6,gas,153057,automatic,SUV,black,1,bmw
58,5200,2006,toyota highlander,2,6,gas,186000,automatic,SUV,green,0,toyota
59,13000,2005,ram 1500,2,8,gas,146000,automatic,truck,grey,1,ram
60,16999,2013,chevrolet silverado 1500,2,8,gas,137230,automatic,truck,white,1,chevrolet
61,10499,2017,chevrolet cruze,2,4,gas,53601,automatic,sedan,black,0,chevrolet
62,30000,1966,ford mustang,3,6,gas,51000,manual,convertible,red,0,ford
63,15999,2017,chevrolet cruze,2,4,gas,17498,automatic,sedan,black,0,chevrolet
64,12800,2009,ford f-150,3,6,gas,108500,automatic,pickup,white,0,ford
65,14999,2013,chevrolet silverado 3500hd,2,8,gas,106375,automatic,truck,white,1,chevrolet
66,14950,2012,ram 1500,3,8,gas,114773,automatic,truck,grey,1,ram
67,6950,2013,nissan altima,3,4,gas,158786,automatic,sedan,unknown,0,nissan
68,7800,2014,ford f-150,4,8,gas,97510,automatic,truck,white,1,ford
69,5500,2006,honda accord,2,4,gas,156516,automatic,sedan,silver,0,honda
70,23300,2018,nissan frontier crew cab sv,2,6,gas,27493,other,pickup,unknown,1,nissan
71,3650,2014,subaru impreza,3,4,gas,74000,automatic,sedan,blue,1,subaru
72,1900,1994,jeep grand cherokee laredo,2,6,gas,207,automatic,SUV,grey,1,jeep
73,9950,2008,toyota 4runner,3,6,gas,134591,automatic,SUV,silver,1,toyota
74,6950,2005,chevrolet tahoe,3,8,gas,186021,automatic,SUV,unknown,1,chevrolet
75,3000,2010,nissan versa,4,4,gas,200412,automatic,hatchback,silver,0,nissan
76,4200,2012,ford focus,4,4,gas,144273,automatic,sedan,silver,0,ford
77,23800,2019,nissan frontier crew cab sv,2,6,gas,10899,other,pickup,silver,1,nissan
78,16500,2012,ford f-250 sd,2,8,gas,123262,automatic,truck,silver,1,ford
79,26900,2014,chevrolet silverado 1500 crew,2,8,gas,68607,automatic,pickup,unknown,1,chevrolet
80,5900,2000,ford f250 super duty,2,8,diesel,202752,automatic,pickup,red,0,ford
81,9950,2014,dodge charger,2,8,gas,102878,automatic,sedan,white,0,dodge
82,11950,2008,chevrolet silverado,2,8,gas,170000,automatic,truck,black,1,chevrolet
83,4995,2009,hyundai elantra,4,4,gas,151223,automatic,sedan,custom,0,hyundai
84,4826,2000,gmc yukon,4,8,gas,226111,automatic,SUV,grey,1,gmc
85,9599,2011,chevrolet camaro,2,6,gas,100680,manual,coupe,silver,0,chevrolet
86,8499,2009,bmw x5,2,6,gas,104482,automatic,SUV,blue,1,bmw
87,26000,2017,ford mustang gt coupe 2d,2,8,gas,35068,other,coupe,yellow,0,ford
88,18800,2015,chevrolet camaro lt coupe 2d,2,6,gas,33926,other,coupe,grey,0,chevrolet
89,18000,2010,ram 1500,2,8,gas,50500,automatic,truck,white,1,ram
90,2800,2010,chevrolet colorado,2,5,gas,200800,automatic,pickup,unknown,0,chevrolet
91,2950,2003,chevrolet silverado,2,8,gas,230000,automatic,pickup,unknown,0,chevrolet
92,32000,2017,honda pilot,4,6,gas,32104,automatic,SUV,white,0,honda
93,8995,2012,toyota rav4,3,4,gas,124526,automatic,SUV,black,1,toyota
94,9995,2017,hyundai sonata,3,4,gas,105985,automatic,sedan,white,0,hyundai
95,24600,2013,ford mustang gt coupe 2d,2,8,gas,22474,other,coupe,white,0,ford
96,6500,2012,ford fusion se,3,6,gas,90000,automatic,sedan,grey,0,ford
97,3995,2008,subaru forester,3,4,gas,165000,automatic,SUV,white,1,subaru
